Series Title,Year Released,Content Rating,IMDB Rating,Genre,Description,No of Seasons,Streaming Platform
Mythic Quest: Raven's Banquet,2020,18+,7.6,Comedy,"Meet the team behind the biggest multiplayer video game of all time. But in a workplace focused on building worlds, molding heroes, and creating legends, the most hard-fought battles don’t occur in the game—they happen in the office.Mythic Quest: Raven's Banquet featuring Rob McElhenney and Charlotte Nicdao has one or more episodes streaming with subscription on Apple TV+. It's a comedy show with 10 episodes over 1 season. Mythic Quest: Raven's Banquet is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.6 (6,493 votes) and was very well received by critics.",1Season,Apple TV+
Brave New World,2020,18+,7.1,"Drama, Science-Fiction","In a utopia whose perfection hinges upon control of monogamy and privacy, members of the collective begin to question the rules, putting their regimented society on a collision course with forbidden love and revolution.Brave New World featuring Alden Ehrenreich and Jessica Brown Findlay has one or more episodes free on Peacock, and streaming with subscription on Peacock Premium. It's a drama and fantasy show with 9 episodes over 1 season. Brave New World is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.1 (5,169 votes) and was not well received by critics.",1Season,"Free Services,Peacock Premium"
Stargate Atlantis,2004,7+,8.1,"Action & Adventure, Science-Fiction","With the Ancients' city of Atlantis discovered in the Pegasus Galaxy by Stargate Command, Dr. Elizabeth Weir and Major Sheppard lead a scientific expedition to the ancient abandoned city. Once there, the team not only find themselves unable to contact Earth, but their explorations unexpectedly reawaken the Ancients' deadly enemies, The Wraith, who hunger for this new prey. Now with the help of newfound local allies like Teyla Emmagan, the Atlantis Team sets about to uncover their new home's secrets even as their war of survival against the Wraith begins.Stargate Atlantis featuring Joe Flanigan and David Hewlett has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, available for purchase on iTunes, and 4 others. It's an action & adventure and drama show with 101 episodes over 5 seasons. Stargate Atlantis is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (60,065 votes).",5Seasons,"Prime Video,Hulu"
Horace and Pete,2016,18+,8.5,"Comedy, Drama","The owners of a dive bar in Brooklyn, Horace and Pete, along with bar regulars share their experiences and lives with each other while drinking or working at the bar.Horace and Pete featuring Louis C. K. and Steve Buscemi has one or more episodes streaming with subscription on Hulu. It's a comedy and drama show with 10 episodes over 1 season. Horace and Pete is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (14,534 votes) and was very well received by critics.",1 Season,Hulu
The Addams Family,1964,all,7.9,"Comedy, Family","A satirical inversion of the ideal of the perfect American nuclear family, they are an eccentric wealthy family who delight in everything grotesque and macabre, and are never really aware that people find them bizarre or frightening. In fact, they themselves are often terrified by ""normal"" people. The Addams Family is the creation of American cartoonist Charles Addams.The Addams Family featuring Carolyn Jones and John Astin has one or more episodes streaming with subscription on Prime Video, free on PlutoTV, free on VUDU, and 5 others. It's a comedy and family show with 64 episodes over 2 seasons. The Addams Family is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (13,844 votes) and was very well received by critics.",2Seasons,"Free Services,Prime Video"
The Prisoner,1967,7+,8.4,"Drama, Science-Fiction","After resigning, a secret agent is abducted and taken to what looks like an idyllic village, but is really a bizarre prison. His warders demand information. He gives them nothing, but only tries to escape.The Prisoner featuring Patrick McGoohan and Peter Swanwick has one or more episodes free on Tubi, streaming with subscription on AMC Premiere, and available for purchase on Prime Video. It's a drama and fantasy show with 17 episodes over 1 season. The Prisoner is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (12,147 votes) and was very well received by critics.",1Season,"Free Services,AMC Premiere"
The Last Man on Earth,2015,16+,7.3,"Comedy, Action & Adventure","The year is 2022, and after an unlikely event, only one man is left on earth: Phil Miller, who used to be just an average guy who loved his family and hated his job at the bank. Now, in his RV, Phil searches the country for other survivors.The Last Man on Earth featuring Will Forte and Kristen Schaal has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with FOX (Via Cable/Satellite Provider), available for purchase on iTunes, and 6 others. It's an action & adventure and comedy show with 67 episodes over 4 seasons. The Last Man on Earth is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (51,765 votes) and was well received by critics.",4Seasons,"Hulu,FOX"
Rescue Me,2004,18+,8.3,"Comedy, Drama","Rescue Me revolves around the lives of the men in a New York City firehouse, the crew of 62 Truck. Examining the fraternal nature and relationships of firefighters, the series tackles the daily drama of the life-and-death situations associated with being a firefighter, while exploring the ways the men use dark humor to protect their true emotions.Rescue Me featuring Denis Leary and Adam Ferrara has one or more episodes streaming with subscription on Hulu, free on Sony Crackle, available for purchase on iTunes, and 5 others. It's an action & adventure and comedy show with 94 episodes over 7 seasons. Rescue Me is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (24,653 votes) and was very well received by critics.",7 Seasons,"Free Services,Hulu"
The Capture,2019,16+,7.8,"Crime, Mystery","When soldier Shaun Emery's conviction for a murder in Afghanistan is overturned due to flawed video evidence, he returns to life as a free man with his young daughter. But when damning CCTV footage from a night out in London comes to light, Shaun's life takes a shocking turn and he must soon fight for his freedom once again.The Capture featuring Holliday Grainger and Callum Turner has one or more episodes free on Peacock, and streaming with subscription on Peacock Premium. It's a crime and drama show with 6 episodes over 1 season. The Capture is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.8 (8,306 votes) and was very well received by critics.",1 Season,"Free Services,Peacock Premium"
Gavin & Stacey,2007,16+,8.1,"Comedy, Romance","Gavin is an ordinary boy from Billericay, Essex. Stacey is an ordinary girl from Barry Island, South Wales. They’ve spoken on the phone every day at work for months but they’ve never actually met… until now.Gavin & Stacey featuring Joanna Page and Mathew Horne has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Prime Video, streaming on BritBox, and 5 others. It's a comedy and drama show with 30 episodes over 4 seasons. Gavin & Stacey is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (16,148 votes) and was very well received by critics.",4 Seasons,"Free Services,HBO MAX,Prime Video"
Gilligan's Island,1964,all,7.3,"Comedy, Family","Gilligan's Island is an American sitcom created and produced by Sherwood Schwartz and originally produced by United Artists Television. The situation comedy series featured Bob Denver; Alan Hale, Jr.; Jim Backus; Natalie Schafer; Tina Louise; Russell Johnson; and Dawn Wells. It aired for three seasons on the CBS network from September 26, 1964, to September 4, 1967. Originally sponsored by Philip Morris & Company and Procter & Gamble, the show followed the comic adventures of seven castaways as they attempted to survive the island on which they had been shipwrecked. Most episodes revolve around the dissimilar castaways' conflicts and their failed attempts to escape their plight.Gilligan's Island ran for a total of 98 episodes. The first season, consisting of 36 episodes, was filmed in black-and-white. These episodes were later colorized for syndication. The show's second and third seasons and the three television movie sequels were filmed in color.The show enjoyed solid ratings during its original run, then grew in popularity during decades of syndication, especially in the 1970s and 1980s when many markets ran the show in the late afternoon after school. Today, the title character of Gilligan is widely recognized as an American cultural icon.Gilligan's Island featuring Bob Denver and Alan Hale Jr. has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a comedy and family show with 98 episodes over 3 seasons. Gilligan's Island is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (12,300 votes) and was very well received by critics.",3Seasons,Prime Video
Don't F**k with Cats: Hunting an Internet Killer,2019,18+,8.1,"Crime, Documentary","A group of online justice seekers track down a guy who posted a video of him killing kittens.Don't F**k with Cats: Hunting an Internet Killer featuring Deanna Thompson and John Green has one or more episodes streaming with subscription on Netflix. It's a crime and documentary show with 3 episodes over 1 season. Don't F**k with Cats: Hunting an Internet Killer is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (32,312 votes) and was well received by critics.",1Season,Netflix
The Keepers,2017,16+,8.1,"Documentary, Crime","This docuseries examines the decades-old murder of Sister Catherine Cesnik and its suspected link to a priest accused of abuse.The Keepers has one or more episodes streaming with subscription on Netflix. It's a crime and documentary show with 7 episodes over 1 season. The Keepers is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (17,129 votes) and was very well received by critics.",1Season,Netflix
The Midnight Gospel,2020,18+,8.3,"Animation, Action & Adventure","Traversing trippy worlds inside his universe simulator, Clancy the space caster explores existential questions about life, death and everything in between.The Midnight Gospel featuring Duncan Trussell and Phil Hendrie has one or more episodes streaming with subscription on Netflix. It's an action & adventure and animation show with 8 episodes over 1 season. The Midnight Gospel is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (9,610 votes) and was very well received by critics.",1 Season,Netflix
Warrior,2019,18+,8.2,"Action & Adventure, Crime","A gritty, action-packed crime drama set during the brutal Tong Wars of San Francisco’s Chinatown in the second half of the 19th century. The series follows Ah Sahm, a martial arts prodigy who immigrates from China to San Francisco under mysterious circumstances, and becomes a hatchet man for one of Chinatown’s most powerful tongs.Warrior featuring Andrew Koji and Olivia Cheng has one or more episodes streaming via tv everywhere with MaxGo, available for purchase on Google Play, available for purchase on VUDU, and 1 other. It's an action & adventure and crime show with 10 episodes over 1 season. Warrior is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (10,798 votes) and was well received by critics.",1Season,Cinemax
Kidding,2018,18+,8,"Comedy, Drama","Jeff, aka Mr. Pickles, is an icon of children's TV. But when his family begins to implode, Jeff finds no fairy tale or fable or puppet will guide him through this crisis, which advances faster than his means to cope. The result: a kind man in a cruel world faces a slow leak of sanity as hilarious as it is heartbreaking.Kidding featuring Jim Carrey and Frank Langella has one or more episodes streaming on Showtime, free on Showtime FREEview, streaming with subscription on fuboTV, and 3 others. It's a comedy and drama show with 22 episodes over 2 seasons. Kidding is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (14,928 votes) and was well received by critics.",2 Seasons,"Free Services,Showtime,fuboTV"
Space Force,2020,18+,6.8,Comedy,"A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off.Space Force featuring Steve Carell and John Malkovich has one or more episodes streaming with subscription on Netflix. It's a comedy show with 10 episodes over 1 season. Space Force is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.8 (39,529 votes) and was not well received by critics.",1 Season,Netflix
Boss,2011,18+,8.1,"Crime, Drama","Boss is an American political drama television serial created by Farhad Safinia. The series stars Kelsey Grammer as Tom Kane, the mayor of Chicago, who has recently been diagnosed with dementia with Lewy bodies, a degenerative neurological disorder.Boss featuring Kelsey Grammer and Connie Nielsen has one or more episodes streaming on Starz, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 18 episodes over 2 seasons. Boss is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (16,902 votes) and was well received by critics.",2Seasons,Starz
Blue Mountain State,2010,18+,8.3,"Comedy, Sport","Three incoming freshman in a big-time, Midwestern college football program have to juggle football, girls, class and nonstop hazing.Blue Mountain State featuring Darin Brooks and Alan Ritchson has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a comedy and sport show with 39 episodes over 3 seasons. Blue Mountain State is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (47,858 votes).",3 Seasons,Prime Video
Away,2020,16+,6.4,"Drama, Romance","American astronaut Emma Green must leave her husband and teenage daughter behind to command an international space crew embarking upon a treacherous mission. A series about hope, humanity and how we need one another if we are to achieve impossible things.Away featuring Hilary Swank and Josh Charles has one or more episodes streaming with subscription on Netflix. It's a drama and fantasy show with 10 episodes over 1 season. Away is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.4 (7,473 votes) and was well received by critics.",1Season,Netflix
Waco,2018,18+,7.9,"Crime, Cult","The harrowing true story of the 1993 standoff between the FBI, ATF and the Branch Davidians, a spiritual sect led by David Koresh in Waco, TX that resulted in a deadly shootout and fire.Waco featuring Michael Shannon and Taylor Kitsch has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and cult show with 6 episodes over 1 season. Waco is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (16,121 votes) and was well received by critics.",1Season,Netflix
Why Women Kill,2019,18+,8.3,"Comedy, Crime","Three women living in three different decades: a housewife in the '60s, a socialite in the '80s and a lawyer in 2018, deal with infidelity in their marriages.Why Women Kill featuring Ginnifer Goodwin and Lucy Liu has one or more episodes streaming on CBS All Access. It's a comedy and crime show with 10 episodes over 1 season. Why Women Kill is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.3 (8,993 votes) and was met with mixed reviews by critics.",1Season,CBS All Access
One Strange Rock,2018,all,8.8,Documentary,"A mind-bending, thrilling journey exploring the fragility and wonder of planet Earth, one of the most peculiar, unique places in the entire universe, brought to life by the only people to have left it behind – the world’s most well known and leading astronauts.One Strange Rock featuring Will Smith has one or more episodes streaming with subscription on Disney+, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a documentary show with 10 episodes over 1 season. One Strange Rock is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (6,193 votes) and was well received by critics.",1Season,Disney+
Living with Yourself,2019,18+,7.2,"Comedy, Drama","Burned out on life, Miles undergoes a strange procedure at a strip mall spa -- and wakes to find he's been replaced by a better version of himself.Living with Yourself featuring Paul Rudd and Aisling Bea has one or more episodes streaming with subscription on Netflix. It's a comedy and drama show with 8 episodes over 1 season. Living with Yourself is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (23,451 votes) and was well received by critics.",1Season,Netflix
Being Human,2011,16+,7.5,"Comedy, Drama","Three paranormal roommates, a ghost, a vampire, and a werewolf, struggle to keep their dark secrets from the world, while helping each other navigate the complexities of living double lives.Being Human featuring Samuel Witwer and Meaghan Rath has one or more episodes free on PlutoTV, free on Sony Crackle, free on Tubi, and 6 others. It's a comedy and drama show with 77 episodes over 5 seasons. Being Human is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (24,032 votes) and was well received by critics.",5Seasons,Free Services
Dirty John,2018,16+,7.2,"Crime, Drama","This true crime anthology, based on the podcast of the same name, follows the terrifyingly true story of Orange County interior designer Debra Newell’s romance with John Meehan, a handsome and romantic charmer who sweeps Debra off her feet and pulls her into his web of lies.Dirty John featuring Amanda Peet and Christian Slater has one or more episodes streaming with subscription on Netflix, streaming via tv everywhere with USA (Via Cable/Satellite Provider), and streaming with subscription on fuboTV. It's a crime and drama show with 16 episodes over 2 seasons. Dirty John is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (14,178 votes) and was well received by critics.",2Seasons,"Netflix,USA,fuboTV"
Invader ZIM,2001,7+,8.3,"Animation, Children","Invader Zim is an American animated television series created by Jhonen Vasquez. The show premiered on Nickelodeon on March 30, 2001. The series involves an extraterrestrial named Zim who originates from a planet called Irk, and his ongoing mission to conquer and destroy Earth. His various attempts to subjugate and destroy the human race are invariably undermined by some combination of his own ineptitude, his malfunctioning robot servant GIR, and a young paranormal investigator named Dib, one of the very few people attentive enough to be aware of Zim's identity. Invader Zim was targeted at children in their early teens, and met with critical acclaim, but after the first season, the show's ratings began to decline. Before the second season was completed, Nickelodeon cancelled the series, leaving at least twenty-three episodes and a planned television movie series finale unfinished. The show has maintained a cult following since the series' cancellation with a pilot, forty-six aired episodes, and about seventeen episodes that were in production around the time the series was cancelled. On August 19, 2006, all forty-six episodes have aired on television. Nineteen of the episodes are split into two individual stories, each lasting about twelve minutes. There are eight double-length episodes. All of the episodes were directed by Steve Ressel except for the pilot which was directed by Jordan Reichek.Invader ZIM featuring Andy Berman and Richard Steven Horvitz has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and animation show with 47 episodes over 2 seasons. Invader ZIM is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (19,168 votes) and was very well received by critics.",2Seasons,Hulu
Looking for Alaska,2019,18+,8.1,Drama,"Teenager Miles enrolls in boarding school to try to gain a deeper perspective on life. After an unexpected tragedy, Miles and his friends try to make sense of what they have been through.Looking for Alaska featuring Charlie Plummer and Kristine Froseth has one or more episodes streaming with subscription on Hulu, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a drama show with 8 episodes over 1 season. Looking for Alaska is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (6,337 votes) and was very well received by critics.",1Season,Hulu
Galavant,2015,7+,8.1,"Comedy, Fantasy","Once upon a time, the dashing hero, Prince Galavant lost the love of his life, Madalena, to the evil King Richard. Now, our fallen hero is ready to take revenge and restore his “happily ever after.” But it won't be without a few twists and turns along the way in this fairytale musical.Galavant featuring Joshua Sasse and Timothy Omundson has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and comedy show with 18 episodes over 2 seasons. Galavant is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (13,990 votes) and was very well received by critics.",2Seasons,Netflix
Patriot,2015,18+,8.3,"Comedy, Drama","To prevent Iran from going nuclear, intelligence officer John Tavner must forgo all safety nets and assume a perilous ""non-official cover"" -- that of a mid-level employee at a Midwestern industrial piping firm.Patriot featuring Michael Dorman and Terry O'Quinn has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and comedy show with 18 episodes over 2 seasons. Patriot is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (10,595 votes) and was very well received by critics.",2Seasons,Prime Video
Animal Kingdom,2016,18+,8.2,"Crime, Drama","17-year-old Joshua ""J"" Cody moves in with his freewheeling relatives in their Southern California beach town after his mother dies of a heroin overdose. Headed by boot-tough matriarch Janine ""Smurf"" Cody and her right-hand Baz, who runs the business and calls the shots, the clan also consists of Pope, the oldest and most dangerous of the Cody boys; Craig, the tough and fearless middle son; and Deran, the troubled, suspicious ""baby"" of the family.Animal Kingdom featuring Finn Cole and Ellen Barkin has one or more episodes streaming with subscription on Prime Video, streaming via tv everywhere with TNT, available for purchase on iTunes, and 5 others. It's a crime and drama show with 49 episodes over 4 seasons. Animal Kingdom is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (22,514 votes).",4Seasons,"Prime Video,TNT"
The Unit,2006,16+,8.1,"Action & Adventure, Drama","A covert team of special forces operatives risk their lives on undercover missions around the globe, while their wives maintain the homefront, protecting their husbands' secrets.The Unit featuring Max Martini and Scott Foley has one or more episodes streaming with subscription on Hulu, free on IMDb TV, available for purchase on iTunes, and 5 others. It's an action & adventure and drama show with 69 episodes over 4 seasons. The Unit is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (19,695 votes) and was well received by critics.",4Seasons,"Free Services,Hulu"
Down to Earth with Zac Efron,2020,7+,8.2,"Documentary, Travel","Actor Zac Efron journeys around the world with wellness expert Darin Olien in a travel show that explores healthy, sustainable ways to live.Down to Earth with Zac Efron featuring Zac Efron and Darin Olien has one or more episodes streaming with subscription on Netflix. It's a documentary and travel show with 8 episodes over 1 season. Down to Earth with Zac Efron is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (4,076 votes) and was well received by critics.",1 Season,Netflix
Snowfall,2017,18+,8,"Crime, Drama","Los Angeles. 1983. A storm is coming and it's name is crack. Set against the infancy of the crack cocaine epidemic and its ultimate radical impact on the culture as we know it, the story follows numerous characters on a violent collision course.Snowfall featuring Damson Idris and Carter Hudson has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a crime and drama show with 30 episodes over 3 seasons. Snowfall is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (9,427 votes) and was well received by critics.",3Seasons,Hulu
Crazy Ex-Girlfriend,2015,16+,7.8,"Musical, Comedy","Rebecca Bunch is a successful, driven, and possibly crazy young woman who impulsively gives up everything - her partnership at a prestigious law firm and her upscale apartment in Manhattan - in a desperate attempt to find love and happiness in that exotic hotbed of romance and adventure: suburban West Covina, California.Crazy Ex-Girlfriend featuring Rachel Bloom and Donna Lynne Champlin has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy and musical show with 62 episodes over 4 seasons. Crazy Ex-Girlfriend is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (16,197 votes) and was very well received by critics.",4Seasons,Netflix
Cheers,1982,7+,7.8,"Comedy, Drama","The story about a blue-collar Boston bar run by former sports star Sam Malone and the quirky and wonderful people who worked and drank there.Cheers featuring Ted Danson and Kirstie Alley has one or more episodes streaming with subscription on Netflix, streaming with subscription on Prime Video, streaming with subscription on Hulu, and 10 others. It's a comedy and drama show with 275 episodes over 11 seasons. Cheers is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (46,749 votes).",11 Seasons,"Free Services,Netflix,Prime Video"
Chicago Fire,2012,16+,7.9,"Action & Adventure, Drama","An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions. For the firefighters, rescue squad and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating. These courageous men and women are among the elite who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death.Chicago Fire featuring Jesse Spencer and Taylor Kinney has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with NBC (Via Cable/Satellite Provider), free on NBC, and 9 others. It's an action & adventure and drama show with 179 episodes over 8 seasons. Chicago Fire has a new episode airing on November 11th, 2020 (PST). It has a high IMDb audience rating of 7.9 (34,334 votes).",8 Seasons,"Free Services,Hulu,NBC"
Star Trek: Enterprise,2001,7+,7.5,"Action & Adventure, Drama","During the mid-22nd century, a century before Captain Kirk's five-year mission, Jonathan Archer captains the United Earth ship Enterprise during the early years of Starfleet, leading up to the Earth-Romulan War and the formation of the Federation.Star Trek: Enterprise featuring Scott Bakula and John Billingsley has one or more episodes streaming with subscription on Netflix, streaming with subscription on Prime Video, streaming with subscription on Hulu, and 5 others. It's an action & adventure and drama show with 99 episodes over 4 seasons. Star Trek: Enterprise is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (44,419 votes) and was met with mixed reviews by critics.",4 Seasons,"Netflix,Prime Video,Hulu"
Suburgatory,2011,7+,7.2,Comedy,"Single father George Altman is doing his best to raise his sixteen-year-old daughter Tessa in the big city. When he discovers a box of condoms in her bedroom, though, he decides the time has come to move her to a more wholesome and nurturing environment: the suburbs. But behind the beautiful homes and perfect lawns lurk the Franken-moms, spray tans, nose jobs, and Red Bull-guzzling teens who have nothing in common with Tessa. It’s a whole new world, one that makes George wonder if they haven’t jumped out of the frying pan and into the fire.Suburgatory featuring Jane Levy and Jeremy Sisto has one or more episodes free on CW Seed, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a comedy show with 57 episodes over 3 seasons. Suburgatory is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.2 (30,213 votes) and was very well received by critics.",3Seasons,Free Services
Skins,2007,18+,8.2,"Drama, Comedy","Irreverent comedy drama which follows the messy lives, loves, delirious highs and inevitable lows of a group of raucous teenage friends in Bristol.Skins featuring Nicholas Hoult and Dev Patel has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on Microsoft Store, and 1 other. It's a comedy and drama show with 61 episodes over 7 seasons. Skins is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (73,217 votes).",7Seasons,Prime Video
Marcella,2016,18+,7.4,"Crime, Drama","Marcella is shocked to the core of her being when her husband Jason leaves her unexpectedly, confessing he no longer loves her. Heartbroken, Marcella returns to the Met’s Murder Squad. Ten years ago Marcella gave up her fast-tracked police career to marry and devote her life to her family. With the abrupt end to her marriage and isolated from her 13 year old daughter and 10 year old son, Marcella throws herself into work to stop herself from falling apart.Marcella featuring Anna Friel and Nicholas Pinnock has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hoopla, available for purchase on iTunes, and 4 others. It's a crime and drama show with 24 episodes over 3 seasons. Marcella is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.4 (21,878 votes) and was well received by critics.",3Seasons,"Netflix,Hoopla"
Life on Mars,2006,18+,8.3,"Drama, Science-Fiction","A detective chief inspector from 2006 is investigating a serial killer when he is knocked over by a speeding car. Waking up, he finds himself mysteriously transported back in time to 1973. Initially struggling to come to terms with his situation, he has to come to terms with the old-fashioned technology and attitude of the day, while figuring out how he came to be trapped in the past.Life on Mars featuring John Simm and Philip Glenister has one or more episodes available for purchase on Google Play, available for purchase on Prime Video, and available for purchase on VUDU. It's a crime and drama show with 25 episodes over 2 seasons. Life on Mars is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (28,281 votes) and was very well received by critics.",2 Seasons,Disney+
Shadowhunters,2016,16+,6.6,"Fantasy, Science-Fiction","When Clary Fray's mother has disappeared, Clary joins a band of Shadowhunters; demon killing hunters, and gets caught up in a plan to save the world.Shadowhunters featuring Katherine McNamara and Dominic Sherwood has one or more episodes streaming with subscription on Hulu, free on Freeform, available for purchase on iTunes, and 3 others. It's an action & adventure and drama show with 55 episodes over 3 seasons. Shadowhunters is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.6 (50,925 votes) and was well received by critics.",3Seasons,"Free Services,Hulu"
Patrick Melrose,2018,18+,8.1,"Drama, Comedy","A critical and often humorous look at the upper class, tracking the protagonist’s harrowing odyssey from a deeply traumatic childhood through adult substance abuse and, ultimately, toward recovery.Patrick Melrose featuring Benedict Cumberbatch and Jennifer Jason Leigh has one or more episodes streaming with subscription on Prime Video, streaming on Showtime, streaming with subscription on fuboTV, and 5 others. It's a comedy and drama show with 5 episodes over 1 season. Patrick Melrose is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (22,953 votes) and was very well received by critics.",1Season,"Prime Video,Showtime,fuboTV"
The Carrie Diaries,2013,16+,7,"Comedy, Drama","Before she was a fashion icon, before her column in the New York Star, before Mr. Big, Carrie Bradshaw was an innocent 16-year-old girl living in suburban Connecticut.The Carrie Diaries featuring AnnaSophia Robb and Austin Butler has one or more episodes free on CW Seed, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's a comedy and drama show with 26 episodes over 2 seasons. The Carrie Diaries is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.0 (25,592 votes) and was well received by critics.",2Seasons,Free Services
Samurai Jack,2001,16+,8.5,"Action & Adventure, Animation","Made by Genndy Tartakovsky, this animated series tells the story of a great warrior displaced to the distant future by the evil shape-shifting wizard Aku. The world has become a bleak place under the rule of Aku, segregated into fantastic tribes and ruled by Aku's evil robot warlords. Jack travels this foreign landscape in search of a time portal that can return him to his home time so he can ""undo the future that is Aku!"".Samurai Jack featuring Phil LaMarr and Greg Baldwin has one or more episodes streaming with subscription on HBO MAX, streaming via tv everywhere with Adult Swim (Via Cable/Satellite Provider), free on Adult Swim, and 7 others. It's an action & adventure and animation show with 62 episodes over 5 seasons. Samurai Jack is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (44,206 votes).",5Seasons,"Free Services,HBO MAX,Adult Swim"
